passcount,meanarea
6,12.60707986
1,12.94295055
3,15.12059116
1,13.43309723
1,11.93091047
1,9.116504917
1,16.10395346
5,12.80113641
1,15.17278059
4,12.63013777
1,10.7192056
1,11.92198738
3,10.72012723
1,13.25275967
13,11.91634328
11,14.89035661
1,14.489398
3,13.04154987
4,11.42840152
2,7.417623556
2,10.76644002
3,12.48972126
8,9.144376238
13,12.00984922
1,12.39622218
1,10.58802963
2,11.45650504
5,7.992109604
18,10.52965536
1,9.6706897
1,11.28787407
7,11.20223319
5,10.05449565
3,9.19921736
16,9.124556075
9,10.10658658
2,9.454803983
8,13.48624928
4,11.99592965
1,10.12238198
1,9.816029232
1,8.572778478
3,8.847926805
2,10.03233373
1,8.418832214
1,9.128042357
1,10.50521445
7,10.07014161
5,9.208064311
5,10.86573981
3,12.31319432
7,13.46208335
2,10.83195122
5,10.40805564
5,11.5345536
6,10.85661956
3,9.220070442
2,9.773745263
2,12.53673294
1,9.369886287
3,11.7167526
1,13.71058315
1,11.00481075
14,10.30910322
1,10.62092439
3,13.94612624
1,10.79484867
3,12.66519618
3,12.74283314
3,11.74937403
